county,state,max_cases,avg_growth_rate,max_growth_rate,total_population,num_deaths,percent_smokers,percent_vaccinated,income_ratio,population_density_per_sqmi,percent_fair_or_poor_health,percent_unemployed_CHR,violent_crime_rate,chlamydia_rate,teen_birth_rate,total_cases,deaths_per_100k,cases_per_100k
Abbeville,South Carolina,1002,0.022957698745321407,0.6666666666666666,24951,430,17.323519011,29,5.2192066806,50.870343302339855,19.895035607,3.9769337841,341.19308921,647.2,2848.2111843999996,4015.871107370446,1723.3778205282354,4015.871107370446
Acadia,Louisiana,4197,0.026859159552096418,0.717948717948718,62372,1027,21.534088073,48,5.804626938,95.20563572350804,20.890035316,5.373246493,443.40685619,576.8,4733.8955425,6728.9809529917275,1646.57217982428,6728.9809529917275
Accomack,Virginia,1367,0.023880381373404525,0.5,33060,600,18.31692932,44,4.1604755562,73.57990362746915,20.08919894,3.8121942489,225.86798932,648.3,3104.8316763,4134.9062310949785,1814.8820326678765,4134.9062310949785
Ada,Idaho,27461,0.03358267506399385,0.6363636363636364,425798,3940,11.990700664,48,4.4780318989,404.5514576315186,11.474881999,2.4598711788,230.63350167,448.7,1308.3547363999999,6449.302251302261,925.3213965307493,6449.302251302261
Adair,Iowa,1294,-2.7801821797975323,0.9879518072289156,18467.603532875368,286.85475956820414,21.558871129857703,45.52894995093229,5.0506688359475955,35.668449336075994,21.58777736484102,3.757364476053582,212.10260551590187,392.84013738959766,2761.6323224217863,7006.864738548602,1553.2863214090314,7006.864738548602
Adams,Colorado,31594,-5.740823066603128,0.9988620199146515,99964.38573508005,1140.8010674429888,17.434960237670065,44.76758854924794,4.506176500135954,114.79118869850569,18.689796672395925,4.583602572893644,240.45807979488356,434.32571567200387,3272.239240809607,31605.2559795932,1141.2075001053627,31605.2559795932
Addison,Vermont,195,0.016517362976902084,0.6666666666666666,36926,335,13.030216513,55,3.8116814393,48.185654320854496,9.683870326,2.5695313252,78.63340564,225.7,836.3970588200001,528.0831934138547,907.2198450955966,528.0831934138547
Aiken,South Carolina,6665,0.030560092957143566,0.5,165146,2756,14.915906763,51,4.6507219792,154.1850828429773,17.706604007,3.3457751812,453.0783204,542.3,3043.1421946,4035.822847662069,1668.8263718164533,4035.822847662069
Aitkin,Minnesota,810,0.02638707949084923,0.5,15722,278,15.171758613,30,4.0741713631,8.630239615162314,14.234821762,5.6129572745,112.06813743,145.3,1437.4514375,5152.01628291566,1768.2228724080906,5152.01628291566
Alachua,Florida,13190,0.03202138340552204,0.5,256581,2811,16.380852086,46,6.0569899977,293.2175475782203,17.61444956,3.271466954,560.54092488,820.8,1291.3734689,5140.676823303363,1095.5604662855005,5140.676823303363
Alamance,North Carolina,7517,0.02868886378983409,0.46153846153846156,156372,2298,17.098560247,52,4.6981696845,369.3067116690684,17.954704364,3.6707494136,381.79810085,557.9,2323.3532934,4807.126595554191,1469.5725577469111,4807.126595554191
Alameda,California,31225,0.030589976759177375,0.875,1605217,12714,9.7327103382,44,5.207726732,2171.874265669419,12.412219044,2.9999469474,628.78196249,553.2,1140.8149379,1945.219867469632,792.0424465975628,1945.219867469632
Albany,New York,6406,-25.393298514640286,0.995575221238938,176219.8240917782,1822.831739961759,15.075808628780116,49.07456978967495,5.24260355929675,306.0904599552933,14.990463108730403,3.489242304028298,245.68914469669215,552.323326959847,1057.9141023982793,3635.2323202091325,1034.4078762741235,3635.2323202091325
Albemarle,Virginia,1979,0.025800392831830644,0.5,104287,846,13.818236126,59,4.5693484993,144.68191548928206,12.788913677,2.6742750836,100.24372051,309.2,597.05926036,1897.6478372184451,811.2228753344136,1897.6478372184451
Alcona,Michigan,251,0.020309463718676028,0.6666666666666666,10461,224,16.050088064,28,4.08753806,15.507544998189257,14.749692104,6.5796344648,120.47612163,144.9,2256.6995769,2399.3882038046077,2141.286683873435,2399.3882038046077
Alexander,North Carolina,1731,-1.7961625468137712,0.8946135831381733,22661.766045548655,380.6832298136646,18.972625583039335,38.6231884057971,4.433863369980331,88.52465029694,19.949712585016563,5.468399521183437,734.6742691418219,459.68592132505177,4029.502487601864,7638.416161038836,1679.848027062482,7638.416161038836
Alexandria city,Virginia,5513,0.028769477291734426,0.5,151473,923,15.073357652,47,4.1449480642,10065.076977625304,14.814075957,2.2458146182,186.36743433,463,2288.5739991,3639.5925346431377,609.3495210367524,3639.5925346431377
Alfalfa,Oklahoma,406,0.021367507664966007,0.6666666666666666,5784,75,16.869086679,33,3.81274335,6.675482095919839,16.744819497,2.1768707483,135.62770196,169.3,2851.3238289,7019.363762102352,1296.680497925311,7019.363762102352
Alger,Michigan,373,0.029213325818450757,0.5,9396,112,17.608933881,36,4.0878315666,10.26800187776609,15.404847507,7.8322540857,206.74300254,164.5,1622.7180527,3969.774372073223,1191.9965942954448,3969.774372073223
Allamakee,Iowa,912,0.020935859059707216,0.5333333333333333,14001,169,16.187211296,41,4.4777721935,21.90800377908761,14.527962439,3.0681509639,39.388405486,151.3,2506.546951,6513.820441397043,1207.0566388115135,6513.820441397043
Allegan,Michigan,4429,0.02956734076144307,0.5,113666,1371,16.273922329,43,3.7613429804,137.7377459370447,14.210075459,3.2664406562,245.50635686,358.1,2138.6459096,3896.5037918110957,1206.16543205532,3896.5037918110957
Allegany,New York,3900,-0.845894509001408,0.9166666666666666,59958.16046966732,870.6497064579256,16.31381186290411,45.0665362035225,4.4319270417252445,107.19982159793588,15.471808069716243,5.5754551797745595,250.8507326805088,289.6829745596869,1906.4561559043052,6504.535778700216,1452.095427274466,6504.535778700216
Alleghany,North Carolina,413,-0.2701779967614355,0.6888888888888889,13393.5,246.5,17.059999632999997,49,4.934800768600001,41.05014646310923,17.5354250325,4.1314323024499995,168.06960239,228.2,3536.37054405,3083.585321237914,1840.4449919737185,3083.585321237914
Allegheny,Pennsylvania,31454,0.0340070911983539,0.6666666666666666,1230360,16701,16.991038873,48,5.1719096724,1685.2485207470086,12.731567892,4.0390967328,394.52772054,427,1339.9445133,2556.4875321044246,1357.4075880230178,2556.4875321044246
Allen,Indiana,21092,-48.76511370157847,0.9938271604938271,112929.54333333333,1556.2566666666667,20.699038107908333,42.2725,4.530376632024,198.78993210474925,19.149141910504166,4.215505725058916,241.65278192755,414.93758333333335,3551.3395772048334,18677.132110366278,1378.077534656343,18677.132110366278
Allendale,South Carolina,449,0.02215254209073934,0.5,9589,211,22.220363032,24,6.1598941599,23.497269826055973,26.677644363,5.802919708,481.86659904,1477.4,5390.6723198,4682.448639065596,2200.438001877151,4682.448639065596
Alpena,Michigan,789,0.02091007748789102,0.8571428571428571,28929,443,17.356943389,45,4.6231393412,50.58707501546838,14.694377187,5.0821011962,303.56647238,228.4,2261.6247512,2727.3670019703413,1531.3353382419025,2727.3670019703413
Amador,California,652,0.02170291896273705,0.6666666666666666,36963,529,10.832189668,46,4.2492997199,62.16746704199539,13.102499807,4.0051679587,237.07073752,170.9,1810.1092896,1763.9260882504125,1431.16089062035,1763.9260882504125
Amelia,Virginia,244,0.019417933811294988,0.5,12793,246,17.359524965,48,4.9010663263,36.00933767817178,15.539960662,3.2211538462,117.10516043,276.5,1805.7784912,1907.293050887204,1922.92660048464,1907.293050887204
Amherst,Virginia,867,0.023916725961190013,0.5,31999,466,16.907827746,51,4.0637254902,67.51732783991294,16.059073072,3.2568072611,133.08074087,364,2258.5561868,2709.4596706147067,1456.2955092346635,2709.4596706147067
Anchorage,Alaska,17774,0.032396404780042146,0.6470588235294118,299321,3203,15.041432026,38,3.837479855,175.38959843027226,14.991107133,5.4939124712,1006.6571953,857.1,2427.3826346,5938.106581228848,1070.0886339414876,5938.106581228848
Anderson,South Carolina,8489,-13.656027017360907,0.9748334566987417,74356.50080515297,1318.3752012882449,18.497230506210144,45.353462157809986,4.3665793536071655,140.1140410645436,18.0634064732029,3.4394065833371177,353.75732004238165,389.92012882447665,3526.6346416623187,11416.621153602893,1773.0463201098892,11416.621153602893
Andrew,Missouri,870,0.025786411644530462,0.5,17347,205,18.23372316,49,4.2464931452,40.089836948418,16.336582174,2.6639132679,184.17796196,250.6,2068.5900924999996,5015.2764166714705,1181.7605349628177,5015.2764166714705
Andrews,Texas,1097,0.023311697737026207,0.8333333333333334,17215,180,13.4363002,24,4.2638848549,11.47115522971328,19.851002217,2.398209337,493.88847502,366.8,6525.777984200001,6372.349695033401,1045.599767644496,6372.349695033401
Androscoggin,Maine,1659,0.024702503831703065,0.6666666666666666,107376,1488,16.449206191,50,4.6369599316,229.46950326880523,13.448855437,3.2967231149,139.0762361,533.2,2334.6989119,1545.0379973178365,1385.7845328565043,1545.0379973178365
Angelina,Texas,3879,0.026782536098892966,0.6666666666666666,87657,1375,15.856965822,48,4.4429767067,109.87623472237904,20.900429989,4.3881693408,311.67123784,478.3,4176.6682669,4425.202779013655,1568.6140296838814,4425.202779013655
Anne Arundel,Maryland,17639,0.032719243473375716,0.5,559737,6299,13.675421228,53,3.7098072123,1349.1309020799863,12.171960063,3.3407299025,452.59909533,389.9,1409.5204451,3151.3014147715803,1125.349941133068,3151.3014147715803
Anoka,Minnesota,23888,0.03447249813515487,0.5,341249,3129,14.520691847,48,3.4210206253,806.7844266875629,11.88727407,2.7631672652,127.23293806,352.3,1087.2153004,7000.167033456508,916.9257638850223,7000.167033456508
Anson,North Carolina,978,0.024525231682360715,0.6666666666666666,25883,511,20.217104679,45,5.0270471926999996,48.70149764706223,22.774451061,4.4681464399,427.55011448,664.2,3728.8793941000004,3778.5419000888614,1974.2688250975543,3778.5419000888614
Antelope,Nebraska,357,0.02123380137541065,0.5,6421,70,14.201672857,31,3.8975023046,7.490515169431813,13.622175287,2.3782876329,97.847358121,141.5,1038.5756677,5559.881638374085,1090.1728702694284,5559.881638374085
Antrim,Michigan,529,0.021008743258108396,0.3333333333333333,23215,316,16.385554035,43,4.0073670072,48.80151829731836,14.002848344,5.6176441499,118.46299647,227.5,2050.6912442000003,2278.6991169502476,1361.1888864958,2278.6991169502476
Apache,Arizona,5702,0.02690650622577984,0.42857142857142855,72346,1296,21.513107022,38,7.6315514721,6.460929815290622,25.951201969,10.065327849,108.96799672,892.4,3733.0206196,7881.569126143809,1791.3913692533106,7881.569126143809
Appanoose,Iowa,834,0.024097073910352065,0.5,12602,202,16.839793466,36,4.5508307192,25.341205332840172,15.912165255,3.3128415301,218.97519608,372.4,3118.3255019,6617.997143310586,1602.9201714013648,6617.997143310586
Appling,Georgia,1364,0.020950978167131703,0.6666666666666666,18410,329,20.18941483,31,4.7601847466,36.3027861822426,22.395262135,4.3454223795,379.19826652,480.5,5861.0895946,7409.016838674634,1787.0722433460076,7409.016838674634
Appomattox,Virginia,425,0.021843074274831936,0.6666666666666666,15314,243,17.134619679,52,4.6063352517,45.922874210437506,16.56063666,3.6425243541,113.91745866,459.2,2661.9627967,2775.2383439989553,1586.7833355099908,2775.2383439989553
Aransas,Texas,449,0.02243955853116409,0.5,24729,492,14.157452328,42,5.2647134019,98.09813680414864,20.550540941,5.7106845065,476.54828759,477.1,4032.8253224,1815.6819928019734,1989.566905252942,1815.6819928019734
Arapahoe,Colorado,29259,0.033815540814962144,0.5714285714285714,617668,5228,13.263552471,53,3.980582245,774.0889138952688,11.684058075,3.2228447278,329.9652518,578.2,1784.8652482999998,4737.01082134739,846.4093979289845,4737.01082134739
Archer,Texas,295,0.025168234313717536,0.5,8750,125,14.062606986,46,4.3990064356,9.688698588363632,13.891397662,3.0831739962,201.65162282,204.3,2340.6374502,3371.4285714285716,1428.5714285714287,3371.4285714285716
Archuleta,Colorado,295,0.01806881483710492,0.8333333333333334,12355,154,13.476071073,32,3.9221422329,9.151244880052024,13.831244068,3.4064665127,190.26029227,150.2,1889.4662258,2387.697288547147,1246.4589235127478,2387.697288547147
Arenac,Michigan,482,0.02243085812311035,0.5,15327,276,18.485783597,39,4.0393296675,42.200940846557856,15.811227659,7.1141613659,256.09057519,226,2707.516922,3144.777190578717,1800.74378547661,3144.777190578717
Arkansas,Arkansas,1023,0.022283893325242256,0.5,18569,364,20.0832304,41,5.5522347507,18.77931197342121,23.123405671,3.3958103638,472.89628709,612.2,5630.387931,5509.1819699499165,1960.256341213851,5509.1819699499165
Arlington,Virginia,6535,0.02722336656471595,0.6,226092,1077,12.329356362,51,3.9137217976,8698.596223821874,11.294389204,1.9957817031,149.40293038,431.1,1011.7810118,2890.4162907135146,476.3547582400085,2890.4162907135146
Armstrong,Pennsylvania,1984,0.026784250132157184,0.5,67512,1110,18.726868837,41,4.3523997975,103.3596024921586,16.276178514,5.0236406619,108.06592021,190.4,2361.3132783,2938.736817158431,1644.1521507287594,2938.736817158431
Aroostook,Maine,173,0.018052548688727032,0.5,69405,1051,18.592721462,39,5.0486943819,10.403854640353067,17.492794482,4.8126105839,120.42686244,230.6,2032.3159785000003,249.26158057776817,1514.3001224695627,249.26158057776817
Ascension,Louisiana,6074,0.02758370705004556,0.75,117009,1263,18.155452803,46,4.8473575745,403.5155357879167,16.66091447,4.1426507248,337.42989494,457.9,2405.0041342,5191.053679631481,1079.404148398841,5191.053679631481
Ashe,North Carolina,817,0.024915859049295136,0.5,26992,404,16.747418802,52,4.516943931,63.501538002933096,15.809505842,3.5921568627,81.246768594,152.1,2911.8136439,3026.8227622999407,1496.7397747480736,3026.8227622999407
Ashland,Ohio,1390,-1.9676855652174736,0.9523809523809523,35115.3228962818,486.69471624266146,18.740189182252447,50.41095890410959,3.986565289919765,72.09508240109263,16.645917656133072,4.430473326280039,180.09328406551862,311.0956947162427,2084.6356748547946,3958.385927720404,1385.9895797631846,3958.385927720404
Ashley,Arkansas,933,0.02490018664815768,0.5,20989,398,20.452066927,44,5.156390882,22.68227208959708,24.022563465,5.4666146037,320.91965034,463.4,4478.2905206000005,4445.185573395588,1896.2313592834341,4445.185573395588
Ashtabula,Ohio,2767,0.027794819764081605,0.5,99175,1744,21.275717753,46,4.7560232623,141.28767680017273,16.773893778,5.2658937329,134.91501999,305.7,3254.4378698,2790.017645576002,1758.5076884295438,2790.017645576002
Asotin,Washington,721,0.024516493682847244,0.5,22113,317,14.357644394,47,4.2889657926,34.764418425177134,15.313680443,4.3533930858,210.83796878,337.3,2944.6971511,3260.525482747705,1433.5458779903224,3260.525482747705
Assumption,Louisiana,1067,0.022830717321505125,0.6,22973,336,21.032197224,46,5.7538175695,67.83440385549906,21.59669348,6.6659210379,318.59642997,412.9,2851.3650152,4644.582771079093,1462.5865146041006,4644.582771079093
Atascosa,Texas,1670,0.023454278273071616,0.5,47710,611,14.394469898,36,4.4138423418,39.12129235481201,23.67838846,3.7652374453,222.3809038,818.7,4717.809531399999,3500.314399496961,1280.6539509536785,3500.314399496961
Atchison,Missouri,933,-2.0674742464329023,0.9117647058823529,10935.1689860835,162.52286282306164,17.38215698969185,36.05367793240557,4.330257271065209,24.029982766333447,17.39502988626044,3.550771072176342,195.33447047518885,196.78807157057653,1957.3666882992047,8532.104087164727,1486.2400666134583,8532.104087164727
Athens,Ohio,2256,0.027399235412523593,0.5,65103,713,20.031609366,47,7.0284298595,129.2687593378178,20.618433863,5.7676363505,111.63589523,800.3,880.4039129099999,3465.2780977835123,1095.1876257622537,3465.2780977835123
Atlantic,New Jersey,8490,0.028041572400831553,0.3333333333333333,274026,3951,15.6441948,48,5.0510670099,493.2126251439281,20.650695155,5.8847262732,373.1873109,464.2,1784.1008033,3098.2461518250093,1441.8339865560201,3098.2461518250093
Atoka,Oklahoma,905,0.022826220667489412,0.5,13847,283,20.874302968,39,4.6212753623,14.1944998187355,22.147475196,4.1202890061,105.43537539,540.1,5061.908230200001,6535.711706506824,2043.7639922004767,6535.711706506824
Audrain,Missouri,1431,0.025664162703140616,0.6666666666666666,25868,389,20.665544602,30,3.5431240592,37.36883197219232,19.399256445,3.091447612,182.94561701,651.3,3387.8504673,5531.931343745167,1503.7884645121385,5531.931343745167
Audubon,Iowa,312,0.019992474940576554,0.6,5793,90,16.186632591,35,3.7985340314,13.07789665312684,12.981562934,2.4390243902,70.187752237,125.5,1877.5510204,5385.810460901088,1553.5991714137751,5385.810460901088
Auglaize,Ohio,2696,0.02876925516163541,0.5,45871,518,17.454950225,47,3.8483115762,114.27998836437786,14.566995823,3.3007334963,58.254689503,233.7,2352.9411765,5877.351703690785,1129.253776896078,5877.351703690785
Augusta,Virginia,1339,0.02621958775570454,0.5,74330,911,15.833912222,54,3.9670494633,76.8632198546925,14.207762165,2.6894534424,124.89029906,231.6,1865.9011688,1801.426072918068,1225.6154984528455,1801.426072918068
Austin,Texas,662,0.02310002527886612,0.5,29107,379,13.560554297,40,4.6637453691,45.023029848507285,17.116888869,3.6318230467,237.77981589,248.4,2961.1078374000003,2274.3669907582366,1302.0922802075102,2274.3669907582366
Autauga,Alabama,2945,0.027335635659839708,0.75,55049,791,18.08155718,41,5.2345972691,92.60553338017922,20.882987328,3.6290788612,272.28222006,407.2,2528.4927164,5349.7792875438245,1436.9016694217878,5349.7792875438245
Avery,North Carolina,1008,0.031142395214889363,0.5,17633,283,17.385965386,47,4.3732046421,71.29120200684599,16.6476292,3.6392197932,173.82235355,193.9,2231.5568390999997,5716.554188169909,1604.945273067544,5716.554188169909
Avoyelles,Louisiana,2220,0.026801249515845872,0.5,41252,776,22.94656752,37,6.2009559289,49.55908605438511,24.494734265,5.7206295305,584.49416793,756.5,5774.4645604,5381.557257829923,1881.1209153495588,5381.557257829923
Bailey,Texas,496,0.025286556820212344,0.5,7131,76,16.253688372,41,3.5955433933,8.62303012064209,26.991707829,4.3691148776,160.18944143,395.6,6270.8102109,6955.546206703128,1065.7691768335437,6955.546206703128
Baker,Florida,2091,-7.613807563483844,0.9861111111111112,22284.66527196653,371.06485355648533,19.317207338767783,37.77196652719665,4.4520948695062765,28.201172180356192,17.654241560048117,4.324209149437866,375.9932705076151,390.79832635983263,3655.277253809205,9383.133982409052,1665.1129780408876,9383.133982409052
Baldwin,Alabama,9501,-0.39842457411488236,0.8888888888888888,123683.68,1872.2933333333333,18.637959461293335,42.52,5.243222965807999,150.96483718742007,20.473927101226668,4.317581739593333,443.29905492813333,515.1306666666667,2216.9358097213335,7681.692524025806,1513.775571145145,7681.692524025806
Ballard,Kentucky,170,0.018644881905575852,0.5,8216,155,20.458640295,49,5.3381540461,33.30915369674524,21.074502511,6.9215740999,66.441169365,335.9,3993.1545921,2069.1333982473225,1886.5628042843232,2069.1333982473225
Baltimore,Maryland,30697,0.034065626083619516,0.5,825666,10845,13.277830309,53,4.2317335352,1379.8774241378756,13.813202217,4.0416017195,511.31007773,538,1427.4912233,3717.8471682254085,1313.4851138353765,3717.8471682254085
Baltimore city,Maryland,25707,0.03318132208192623,0.6666666666666666,621000,12413,20.262595245,46,6.2835032993,7671.990019506788,18.766013095,5.6785317403,1566.3122092,1248.4,3714.0510710999997,4139.613526570049,1998.8727858293075,4139.613526570049
Bamberg,South Carolina,764,0.02218141273663309,0.5,15057,326,17.8340138,25,4.8174608464,38.277259830270175,22.696039386,6.5130260521,419.02718648,862.2,2097.5832192999997,5074.051935976622,2165.1059307963073,5074.051935976622
Bandera,Texas,281,0.02059629178870109,0.5,21015,351,13.663315439,39,4.3136955805,26.567825078502064,16.935833605,3.4072580645,137.71815268,219.2,1766.4118112,1337.140137996669,1670.2355460385438,1337.140137996669
Banks,Georgia,849,0.022759804322541925,0.6666666666666666,18336,303,17.722278257,47,4.2585189021,79.00361304488447,17.236689605,3.1138603481,194.75777002,182.5,2757.0789866,4630.235602094241,1652.4869109947645,4630.235602094241
Bannock,Idaho,4908,0.028153599075749793,0.3333333333333333,83815,1073,14.424020575,43,4.4990504424,75.34139808208852,14.893500207,2.7323321979,254.27756654,396.4,2291.2082656,5855.75374336336,1280.2004414484281,5855.75374336336
Baraga,Michigan,568,0.0224012089439854,0.75,8612,153,19.338342617,28,4.6560048613,9.587332404252283,16.124144828,6.1083123426,333.40503334,154,2336.72858,6595.448211797492,1776.5908035299583,6595.448211797492
Barbour,West Virginia,1217,-5.957884537830721,0.9601593625498008,21733.31983805668,377.1174089068826,22.63216149567611,37,5.118280894698786,39.84169930269946,26.64467157776518,5.5876640807109315,432.80468381700405,475.37854251012146,3560.4044117676112,5599.696728655976,1735.203879190705,5599.696728655976
Barnes,North Dakota,1093,0.02323762099520722,0.3333333333333333,11033,130,15.68860574,58,4.842717767,7.396990128159619,11.999716577,2.6899033908,180.92179655,270.2,1291.3026965,9906.643705247892,1178.2833318227138,9906.643705247892
Barnstable,Massachusetts,3372,0.025809889705902492,0.6,214703,2798,11.853906316,52,4.3886760324,544.6463764280353,10.040827353,4.279630028,399.5658922,92.8,855.63339842,1570.5416319287574,1303.1955771461041,1570.5416319287574
Barnwell,South Carolina,1001,0.02534218441362629,0.5,21917,449,19.713759309,35,6.0796440154,39.96690479178403,22.072298052,4.7824523553,730.14419776,815.2,4066.5434380999995,4567.230916640051,2048.638043527855,4567.230916640051
Barren,Kentucky,2155,0.026294878398099603,0.5,43287,749,22.395924226,48,4.1369539551,88.78586710045036,24.276541595,4.4302805496,123.96551922,360.7,4678.1721480999995,4978.399981518701,1730.311640908356,4978.399981518701
